t_iso,t_unix,rssi,remrssi,noise,remnoise,rxerrors,fixed,txbuf,marker_distance_m
2026-05-18T23:45:55,1779144355.043,219,219,60,51,1,0,100,
2026-05-18T23:45:55,1779144355.978,219,219,54,52,1,0,100,
2026-05-18T23:45:56,1779144356.906,219,219,55,53,1,0,100,
2026-05-18T23:45:57,1779144357.946,219,219,57,52,1,0,100,
2026-05-18T23:45:58,1779144358.985,219,219,54,52,1,0,100,
2026-05-18T23:45:59,1779144359.914,219,219,61,54,1,0,100,
2026-05-18T23:46:00,1779144360.953,219,219,61,53,1,0,100,
2026-05-18T23:46:01,1779144361.882,219,219,59,52,1,0,100,
2026-05-18T23:46:02,1779144362.921,219,219,58,53,1,0,100,
2026-05-18T23:46:03,1779144363.961,219,219,59,51,1,0,100,
2026-05-18T23:46:04,1779144364.889,219,219,53,52,1,0,100,
2026-05-18T23:46:05,1779144365.914,219,219,56,55,1,0,100,
2026-05-18T23:46:06,1779144366.969,219,219,59,54,1,0,100,
2026-05-18T23:46:07,1779144367.897,219,219,58,53,1,0,100,
2026-05-18T23:46:08,1779144368.921,219,219,57,54,1,0,100,
2026-05-18T23:46:09,1779144369.977,219,219,57,51,1,0,100,
2026-05-18T23:46:10,1779144370.889,219,219,61,53,1,0,100,
2026-05-18T23:46:11,1779144371.929,219,219,60,53,1,0,100,
2026-05-18T23:46:12,1779144372.969,219,219,54,51,1,0,100,
2026-05-18T23:46:13,1779144373.898,219,220,61,53,1,0,100,
2026-05-18T23:46:14,1779144374.937,219,220,57,52,1,0,100,
2026-05-18T23:46:15,1779144375.977,219,220,61,53,1,0,100,
2026-05-18T23:46:16,1779144376.905,219,220,60,51,1,0,100,
2026-05-18T23:46:17,1779144377.945,219,220,53,51,1,0,100,
2026-05-18T23:46:18,1779144378.985,219,220,60,53,1,0,100,
2026-05-18T23:46:19,1779144379.913,219,220,55,53,1,0,100,
2026-05-18T23:46:20,1779144380.937,219,220,55,52,1,0,100,
2026-05-18T23:46:21,1779144381.993,219,220,60,54,1,0,100,
2026-05-18T23:46:22,1779144382.905,219,220,58,54,1,0,100,
2026-05-18T23:46:23,1779144383.950,219,220,60,52,1,0,100,
2026-05-18T23:46:24,1779144384.990,219,220,59,51,1,0,100,
2026-05-18T23:46:25,1779144385.918,219,220,61,55,1,0,100,
2026-05-18T23:46:26,1779144386.958,219,220,56,50,1,0,100,
